startDate,siteID,regionName,siteReference,classWeight,siteDescription,laneNumber,flowDirection,trafficCount
1/1/2018,39,05 - Gisborne,00200444,Heavy,200 m Nth of Bell Rd,1,1,74
1/1/2018,39,05 - Gisborne,00200444,Heavy,200 m Nth of Bell Rd,2,2,73
1/1/2018,39,05 - Gisborne,00200444,Light,200 m Nth of Bell Rd,2,2,2468
1/1/2018,39,05 - Gisborne,00200444,Light,200 m Nth of Bell Rd,1,1,3806
1/1/2018,40,05 - Gisborne,00200448,Heavy,Sth end of Whatatuna Bridge,1,1,58.5
1/1/2018,40,05 - Gisborne,00200448,Light,Sth end of Whatatuna Bridge,2,2,1569
1/1/2018,40,05 - Gisborne,00200448,Heavy,Sth end of Whatatuna Bridge,2,2,51
1/1/2018,40,05 - Gisborne,00200448,Light,Sth end of Whatatuna Bridge,1,1,2915.5
1/1/2018,50,06 - Hawkes Bay,00200646,Light,Napier Airport Combined,1,1,7827
1/1/2018,50,06 - Hawkes Bay,00200646,Light,Napier Airport Combined,2,2,6499
1/1/2018,54,06 - Hawkes Bay,05100002,Light,Hyderabad : Taradale - Georges Drive,1,1,5153
1/1/2018,54,06 - Hawkes Bay,05100002,Light,Hyderabad : Taradale - Georges Drive,2,1,3085
1/1/2018,54,06 - Hawkes Bay,05100002,Light,Hyderabad : Taradale - Georges Drive,3,2,3550
1/1/2018,54,06 - Hawkes Bay,05100002,Light,Hyderabad : Taradale - Georges Drive,4,2,4667
1/1/2018,57,06 - Hawkes Bay,05100015,Light,SH 51 Junction with Farndon Rd,2,2,5427
1/1/2018,57,06 - Hawkes Bay,05100015,Light,SH 51 Junction with Farndon Rd,1,1,6083
1/1/2018,64,06 - Hawkes Bay,00200685,Heavy,249 North Te Onepu Rd,1,1,141
1/1/2018,64,06 - Hawkes Bay,00200685,Light,249 North Te Onepu Rd,1,1,3777
1/1/2018,64,06 - Hawkes Bay,00200685,Light,249 North Te Onepu Rd,2,2,3106.5
1/1/2018,64,06 - Hawkes Bay,00200685,Heavy,249 North Te Onepu Rd,2,2,114.5
1/1/2018,66,06 - Hawkes Bay,00200715,Heavy,250 m Sth of Tapairu Rd Sth.,2,2,117.5
1/1/2018,66,06 - Hawkes Bay,00200715,Light,250 m Sth of Tapairu Rd Sth.,2,2,3270.5
1/1/2018,66,06 - Hawkes Bay,00200715,Light,250 m Sth of Tapairu Rd Sth.,1,1,3962.5
1/1/2018,66,06 - Hawkes Bay,00200715,Heavy,250 m Sth of Tapairu Rd Sth.,1,1,136.5
1/1/2018,77,09 - Wellington,00200864,Heavy,Sth of Readers Cutting,1,1,123
1/1/2018,77,09 - Wellington,00200864,Heavy,Sth of Readers Cutting,2,2,115
1/1/2018,77,09 - Wellington,00200864,Light,Sth of Readers Cutting,2,2,1720
1/1/2018,77,09 - Wellington,00200864,Light,Sth of Readers Cutting,1,1,1927
1/1/2018,82,09 - Wellington,00200906,Heavy,Sth of Waiohine River Bridge,1,1,122
1/1/2018,82,09 - Wellington,00200906,Light,Sth of Waiohine River Bridge,1,1,4315
1/1/2018,82,09 - Wellington,00200906,Light,Sth of Waiohine River Bridge,2,2,3846.5
1/1/2018,82,09 - Wellington,00200906,Heavy,Sth of Waiohine River Bridge,2,2,101.5
1/1/2018,84,09 - Wellington,00200917,Heavy,Sth of Tauherenikau River Bridge,2,2,70.5
1/1/2018,84,09 - Wellington,00200917,Heavy,Sth of Tauherenikau River Bridge,1,1,66
1/1/2018,84,09 - Wellington,00200917,Light,Sth of Tauherenikau River Bridge,1,1,3275
1/1/2018,84,09 - Wellington,00200917,Light,Sth of Tauherenikau River Bridge,2,2,2634.5
1/1/2018,89,09 - Wellington,00200954,Heavy,Sth of Whakatiki St,1,1,158.5
1/1/2018,89,09 - Wellington,00200954,Heavy,Sth of Whakatiki St,2,2,137
1/1/2018,89,09 - Wellington,00200954,Light,Sth of Whakatiki St,2,2,8621
1/1/2018,89,09 - Wellington,00200954,Light,Sth of Whakatiki St,1,1,9211.5
1/1/2018,195,10 - Nelson/Marlborough,00600009,Heavy,Godfrey Rd - Woodbourne,1,1,67.5
1/1/2018,195,10 - Nelson/Marlborough,00600009,Light,Godfrey Rd - Woodbourne,1,1,2043.5
1/1/2018,195,10 - Nelson/Marlborough,00600009,Heavy,Godfrey Rd - Woodbourne,2,2,90.5
1/1/2018,195,10 - Nelson/Marlborough,00600009,Light,Godfrey Rd - Woodbourne,2,2,2387.5
1/1/2018,207,10 - Nelson/Marlborough,00600144,Heavy,Eighty Eight Vly Stm bridge,2,2,105.5
1/1/2018,207,10 - Nelson/Marlborough,00600144,Light,Eighty Eight Vly Stm bridge,2,2,1792.5
1/1/2018,207,10 - Nelson/Marlborough,00600144,Light,Eighty Eight Vly Stm bridge,1,1,2045.5
1/1/2018,207,10 - Nelson/Marlborough,00600144,Heavy,Eighty Eight Vly Stm bridge,1,1,101.5
1/1/2018,211,10 - Nelson/Marlborough,00600248,Light,Murchison Dellows Bluff,1,1,1750.5
1/1/2018,211,10 - Nelson/Marlborough,00600248,Heavy,Murchison Dellows Bluff,1,1,119.5
1/1/2018,211,10 - Nelson/Marlborough,00600248,Light,Murchison Dellows Bluff,2,2,1327.5
1/1/2018,211,10 - Nelson/Marlborough,00600248,Heavy,Murchison Dellows Bluff,2,2,136.5
1/1/2018,216,12 - West Coast,00600419,Heavy,Rapahoe - Nth of Township,1,1,51
1/1/2018,216,12 - West Coast,00600419,Light,Rapahoe - Nth of Township,1,1,1091
1/1/2018,216,12 - West Coast,00600419,Heavy,Rapahoe - Nth of Township,2,2,49
1/1/2018,216,12 - West Coast,00600419,Light,Rapahoe - Nth of Township,2,2,934
1/1/2018,223,12 - West Coast,00600433,Light,Greymouth - High St Sth of Nelson St,1,1,3665
1/1/2018,223,12 - West Coast,00600433,Light,Greymouth - High St Sth of Nelson St,2,2,3456
1/1/2018,224,12 - West Coast,00600435,Light,Greymouth - Between Fernhill and Loris Places,1,1,3306
1/1/2018,224,12 - West Coast,00600435,Light,Greymouth - Between Fernhill and Loris Places,2,2,3128
1/1/2018,226,12 - West Coast,00600448,Light,Kumara Junction - Nth of SH 73 Junction,2,2,1906
1/1/2018,226,12 - West Coast,00600448,Light,Kumara Junction - Nth of SH 73 Junction,1,1,2086
1/1/2018,229,12 - West Coast,00600470,Light,Hokitika - Fitzherbert St Sth of Stafford St,2,2,2657
1/1/2018,229,12 - West Coast,00600470,Light,Hokitika - Fitzherbert St Sth of Stafford St,1,1,2610
1/1/2018,230,12 - West Coast,00600472,Light,Hokitika - Nth of Golf Links and Arthurstown Rd,1,1,1542
1/1/2018,230,12 - West Coast,00600472,Light,Hokitika - Nth of Golf Links and Arthurstown Rd,2,2,1524
1/1/2018,231,12 - West Coast,00600483,Light,Ruatapu - Sth of Township (Bittern Creek),2,2,1032
1/1/2018,231,12 - West Coast,00600483,Light,Ruatapu - Sth of Township (Bittern Creek),1,1,1052
1/1/2018,232,12 - West Coast,00600501,Heavy,Ross - Near Fire Station,2,2,58
1/1/2018,232,12 - West Coast,00600501,Light,Ross - Near Fire Station,1,1,1011
1/1/2018,232,12 - West Coast,00600501,Heavy,Ross - Near Fire Station,1,1,64
1/1/2018,232,12 - West Coast,00600501,Light,Ross - Near Fire Station,2,2,962
1/1/2018,234,12 - West Coast,00600577,Light,Whataroa - Nth End Township,2,2,789.5
1/1/2018,234,12 - West Coast,00600577,Heavy,Whataroa - Nth End Township,2,2,43.5
1/1/2018,234,12 - West Coast,00600577,Heavy,Whataroa - Nth End Township,1,1,55
1/1/2018,234,12 - West Coast,00600577,Light,Whataroa - Nth End Township,1,1,824
1/1/2018,235,12 - West Coast,00600609,Light,Franz Josef - Just Sth of Fire Station,1,1,1578.5
1/1/2018,235,12 - West Coast,00600609,Heavy,Franz Josef - Just Sth of Fire Station,1,1,78.5
1/1/2018,235,12 - West Coast,00600609,Light,Franz Josef - Just Sth of Fire Station,2,2,1469.5
1/1/2018,235,12 - West Coast,00600609,Heavy,Franz Josef - Just Sth of Fire Station,2,2,102.5
1/1/2018,236,12 - West Coast,00600614,Heavy,South of Waiho Flat Rd,1,1,51
1/1/2018,236,12 - West Coast,00600614,Heavy,South of Waiho Flat Rd,2,2,44
1/1/2018,236,12 - West Coast,00600614,Light,South of Waiho Flat Rd,1,1,985
1/1/2018,236,12 - West Coast,00600614,Light,South of Waiho Flat Rd,2,2,920
1/1/2018,238,12 - West Coast,00600760,Light,Haast - West of Greenstone Creek,2,2,810
1/1/2018,238,12 - West Coast,00600760,Heavy,Haast - West of Greenstone Creek,2,2,50
1/1/2018,238,12 - West Coast,00600760,Heavy,Haast - West of Greenstone Creek,1,1,41
1/1/2018,238,12 - West Coast,00600760,Light,Haast - West of Greenstone Creek,1,1,715
1/1/2018,241,13 - Otago,00600884,Light,Hawea Sth of dam,1,1,2811
1/1/2018,241,13 - Otago,00600884,Heavy,Hawea Sth of dam,1,1,159
1/1/2018,241,13 - Otago,00600884,Heavy,Hawea Sth of dam,2,2,165.5
1/1/2018,241,13 - Otago,00600884,Light,Hawea Sth of dam,2,2,2969.5
1/1/2018,246,13 - Otago,00600947,Light,Cromwell,2,2,3903
1/1/2018,246,13 - Otago,00600947,Light,Cromwell,1,1,2794
1/1/2018,250,13 - Otago,00600991,Light,Shotover-before Lower Shotover Rd,2,2,9444
1/1/2018,250,13 - Otago,00600991,Light,Shotover-before Lower Shotover Rd,1,1,8645
1/1/2018,251,13 - Otago,00600994,Light,Frankton- Nth east of junction,1,1,10777.5
1/1/2018,251,13 - Otago,00600994,Heavy,Frankton- Nth east of junction,1,1,443.5
1/1/2018,251,13 - Otago,00600994,Light,Frankton- Nth east of junction,2,2,11780.5
